code_insee,nom,agglomeration
44013,Besné,CARENE
44052,Donges,CARENE
44030,La Chapelle-des-Marais,CARENE
44103,Montoir-de-Bretagne,CARENE
44132,Pornichet,CARENE
44151,Saint-André-des-Eaux,CARENE
44168,Saint-Joachim,CARENE
44176,Saint-Malo-de-Guersac,CARENE
44184,Saint-Nazaire,CARENE
44210,Trignac,CARENE
44006,Assérac,CapAtlantique
44010,Batz-sur-Mer,CapAtlantique
44069,Guérande,CapAtlantique
44072,Herbignac,CapAtlantique
44055,La Baule-Escoublac,CapAtlantique
44211,La Turballe,CapAtlantique
44049,Le Croisic,CapAtlantique
44135,Le Pouliguen,CapAtlantique
44097,Mesquer,CapAtlantique
44125,Piriac-sur-Mer,CapAtlantique
44175,Saint-Lyphard,CapAtlantique
44183,Saint-Molf,CapAtlantique
56030,Camoël,CapAtlantique
56058,Férel,CapAtlantique
56155,Pénestin,CapAtlantique
